rodada,event_id,casa,fora,gols_casa,gols_fora,resultado_casa,resultado_fora,xg_casa,xg_fora,chutes_casa,chutes_fora,chutes_no_gol_casa,chutes_no_gol_fora,escanteios_casa,escanteios_fora,posse_casa,posse_fora,grandes_chances_casa,grandes_chances_fora,faltas_casa,faltas_fora,cartoes_amarelos_casa,cartoes_amarelos_fora
11,15235515,Mirassol,Bahia,1,2,D,V,1.46,1.78,16,14,6,8,8,4,42,58,3,2,20,14,5,1
11,15235510,Santos,Atlético-MG,1,0,V,D,1.28,0.78,18,11,2,3,5,7,45,55,2,1,8,17,3,1
11,15235546,Internacional,Grêmio,0,0,E,E,0.94,0.42,11,4,3,1,8,2,54,46,2,2,19,20,4,3
11,15235543,Athletico,Chapecoense,2,0,V,D,1.31,0.17,14,8,6,1,5,0,58,42,3,0,15,17,2,5
11,15235508,Botafogo,Coritiba,2,2,E,E,2.46,1.32,21,14,8,5,7,4,61,39,4,3,14,7,2,4
11,15235506,Fluminense,Flamengo,1,2,D,V,1.26,2.81,19,17,6,9,8,2,60,40,2,4,14,11,3,3
11,15235512,Corinthians,Palmeiras,0,0,E,E,0.55,0.94,6,16,4,4,2,7,32,68,1,0,17,16,2,1
11,15235516,Cruzeiro,RB Bragantino,2,1,V,D,2.03,0.53,16,16,7,4,2,7,49,51,6,0,16,21,0,2
12,15235526,Chapecoense,Botafogo,1,4,D,V,0.26,1.03,9,13,3,8,4,4,49,51,0,4,6,7,,
12,15235520,Vasco,São Paulo,2,1,V,D,2.18,2.39,20,10,5,4,6,5,62,38,2,5,14,20,1,2
12,15235525,Vitória,Corinthians,0,0,E,E,0.65,0.18,13,7,1,0,4,2,54,46,,,13,14,1,2
12,15235528,Cruzeiro,Grêmio,2,0,V,D,1.84,0.52,18,9,6,1,4,1,41,59,2,1,16,13,4,3
12,15235523,Internacional,Mirassol,1,2,D,V,1.69,1.74,25,10,8,4,11,2,72,28,1,3,6,15,0,4
12,15235524,Coritiba,Atlético-MG,2,0,V,D,1.01,1.29,2,23,2,7,2,8,23,77,1,0,18,10,2,1
12,15235522,Santos,Fluminense,2,3,D,V,1.2,0.8,7,10,4,3,6,4,47,53,4,2,13,14,5,3
12,15235550,Palmeiras,Athletico,1,0,V,D,0.33,0.42,10,9,2,3,9,3,50,50,1,0,9,22,3,4
12,15235521,RB Bragantino,Remo,4,2,V,D,1.56,0.5,16,7,7,3,1,1,51,49,1,1,11,12,1,1
12,15235519,Flamengo,Bahia,2,0,V,D,2.18,0.63,20,13,8,5,6,1,52,48,4,0,12,8,2,0
13,15235537,Bahia,Santos,2,2,E,E,1.24,2.63,18,11,5,5,5,3,64,36,1,4,16,17,3,4
13,15235529,Botafogo,Internacional,2,2,E,E,1.4,0.45,16,8,7,4,3,5,53,47,1,0,16,14,2,3
13,15235536,Remo,Cruzeiro,0,1,D,V,1,0.2,14,6,1,6,4,1,47,53,1,0,15,22,1,3
13,15235530,São Paulo,Mirassol,1,0,V,D,0.94,1.21,17,10,1,1,12,4,53,47,1,1,11,14,1,2
13,15235531,Corinthians,Vasco,1,0,V,D,0.64,1.02,13,21,5,7,5,7,40,60,2,2,12,17,3,4
13,15235534,Grêmio,Coritiba,1,0,V,D,1.09,0.69,22,15,6,4,5,2,56,44,1,2,20,11,3,2
13,15235535,Athletico,Vitória,3,1,V,D,3.63,0.72,23,7,11,2,4,4,61,39,7,1,16,15,6,4
13,15235532,RB Bragantino,Palmeiras,0,1,D,V,1.03,0.46,19,6,4,3,9,4,61,39,1,0,12,17,1,2
13,15235533,Atlético-MG,Flamengo,0,4,D,V,1.37,2.78,18,9,6,6,8,1,51,49,2,3,10,13,1,2
13,15235527,Fluminense,Chapecoense,2,1,V,D,2.83,0.4,30,8,12,3,7,1,71,29,2,0,6,16,1,4
